"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22499","View the loyalty point on Receipt","chrome","2026-03-02","passed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","21497","Update GC balance when making multiple payments using 2 GCs","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","11097","Update the user info when changing technician","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","14492","Sell a Gift Card rewrite amount","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","22198","Cannot find gift card after selling a new gift card and then voiding the item Gift Card","chrome","2026-03-02","passed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","1","Create an appointment for a new customer, edit to change technician and create ticket","chrome","2026-03-02","skipped","2026-03-02","Appointment","appointment.feature.spec.js","",""
"","12849","Combine tickets","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","8506","Enable Zoom In / Zoom Out","chrome","2026-03-02","passed","2026-03-02","Appointment","appointment.feature.spec.js","",""
"","4457","User can view the appointment log page","chrome","2026-03-02","passed","2026-03-02","Appointment Log","appointment-log.feature.spec.js","",""
"","47900","Commission payroll details in the Owner View are calculated correctly","chrome","2026-03-02","failed","2026-03-02","Payroll","payroll.feature.spec.js","",""
"","12636","Adjust turn - Add Late Turn, Remove Late Turn","chrome","2026-03-02","passed","2026-03-02","Turn details","turn-details.feature.spec.js","",""
"","18809","Void item, remove payment and add a new payment","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
"","4250","View the Menu Items management page","chrome","2026-03-02","passed","2026-03-02","Menu Items management","menu-items.feature.spec.js","",""
"","26007","The Services/Products tab displays data correctly","chrome","2026-03-02","passed","2026-03-02","Ticket Payments","ticket-payments.feature.spec.js","",""
"","16092","Add a customer to the ticket","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
"","15671","View service details","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
"","18474","Reopen ticket to change split tip Percent to Equal","chrome","2026-03-02","passed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","10793","Select service to change technician","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","7775","View the Customers management page","chrome","2026-03-02","passed","2026-03-02","Customers management","customers.feature.spec.js","",""
"","14102","Create a new Discount","chrome","2026-03-02","passed","2026-03-02","Discounts management","discounts.feature.spec.js","",""
"","4657","View the Menu Categories management page","chrome","2026-03-02","passed","2026-03-02","Menu Categories management","menu-categories.feature.spec.js","",""
"","10675","Change price and add note for service in ticket","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","16769","Reopen ticket then close ticket","chrome","2026-03-02","passed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","25684","Recreate a waiting after voiding ticket","chrome","2026-03-02","passed","2026-03-02","Check In","check-in.feature.spec.js","",""
"","4426","User can view the list of tax","chrome","2026-03-02","passed","2026-03-02","Tax management","tax.feature.spec.js","",""
"","29009","Authentication: Admin role","setup","2026-03-02","passed","2026-03-02","","../../src/auth.setup.ts","",""
"","18362","Update issuance after creating a waiting for an existing customer","chrome","2026-03-02","passed","2026-03-02","Check In","check-in.feature.spec.js","",""
"","19907","Display the correct page title and nav tabs","chrome","2026-03-02","passed","2026-03-02","Ticket Payments","ticket-payments.feature.spec.js","",""
"","1","Create an appointment for an existing customer, edit to change technician and create ticket","chrome","2026-03-02","skipped","2026-03-02","Appointment","appointment.feature.spec.js","",""
"","5705","Add and then delete a Tax","chrome","2026-03-02","passed","2026-03-02","Tax management","tax.feature.spec.js","",""
"","23823","Update redeem after paying with Loyalty points","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","0","Remove loyalty balance when voiding ticket","chrome","2026-03-02","skipped","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
